"admin3Name","admin2Name","admin1Name","date","mean","stdDev","admin1Pcod","admin2Pcod","admin3Pcod"
"A'ain El-Mir (El Establ)","Jezzine","South",2021-06-01,6.9104628,1.4387503,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-03-01,4.1260597,1.1037501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-05-01,4.2300993,0.43625,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-01-01,7.5220934,1.1949999,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-03-01,4.4681748,0.4125001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-10-01,3.4656964,0.4412501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-10-01,4.909961,0.63375,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-04-01,7.9766566,0.67875,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-01-01,7.6320976,1.1912498,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-09-01,6.4721626,1.05,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-09-01,5.785917,0.9375,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-02-01,6.6863926,1.6499999,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-02-01,6.5590918,0.8825002,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-02-01,3.3332309,0.43375,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-09-01,2.208205,0.36625,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-04-01,3.220718,0.4525,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-08-01,6.4841826,1.18625,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-06-01,7.1647752,0.47,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-09-01,5.4816567,1.0562501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-09-01,1.8320285,0.2537499,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-05-01,6.0357353,0.835,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-04-01,6.3755104,0.6025002,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-05-01,7.668897,0.67875,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-02-01,4.2627769,0.8699999,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-10-01,6.7629802,0.9737501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-11-01,7.6853548,0.9700003,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-11-01,3.5275389,0.12875,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-08-01,5.1152725,0.5787499,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-08-01,3.6894508,0.8012501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-08-01,3.3656402,0.5250001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-03-01,6.3736332,1.77,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-12-01,5.9746064,1.16625,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-12-01,6.0791046,0.2362499,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-02-01,5.9687932,0.6937499,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-02-01,5.4084343,0.96,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-08-01,4.3535814,0.63,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-04-01,4.5575821,1.26125,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-03-01,5.8747318,0.6400001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-04-01,3.4788366,0.3587501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-01-01,3.7689879,0.0575,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-07-01,5.7430363,0.845,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-12-01,6.7711938,1.1849999,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-07-01,6.4966652,1.3987498,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-10-01,5.5901211,0.5025001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-07-01,6.904256,0.6699998,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-07-01,4.3451514,0.74625,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-11-01,7.1760726,1.375,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-07-01,6.8935597,1.7137499,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-03-01,5.6489922,1.1287501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-12-01,7.7974265,0.76875,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-06-01,7.0146627,0.4849999,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-11-01,6.601665,1.31375,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-10-01,2.581596,0.4662499,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-01-01,7.0764792,0.7525001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-07-01,3.5751383,0.4100001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-09-01,4.1880061,0.3212502,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-05-01,4.129109,0.3500001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-02-01,3.6731748,0.7574999,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-06-01,3.5469464,0.4475,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-11-01,3.1023314,0.14625,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-05-01,4.6322447,0.4687498,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-03-01,2.8159559,0.53625,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-09-01,4.0155148,0.6037501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-04-01,5.0605709,1.1049999,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-07-01,4.1147577,0.485,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-12-01,3.87343,0.1112502,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2024-01-01,3.7109213,0.1112499,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2019-08-01,5.6078373,0.9225001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-06-01,4.2929931,0.7700001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-12-01,3.8563799,0.35625,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-01-01,6.9209644,1.6287498,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-04-01,6.2156532,1.0962501,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-03-01,7.3638755,0.8975,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-11-01,4.8859645,0.5387499,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-08-01,6.2989359,1.4275,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2022-01-01,4.5042733,0.745,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2021-05-01,5.5855623,0.8825002,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2023-06-01,3.760372,0.2650001,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-10-01,6.0130189,0.98,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2018-05-01,7.6001341,0.9812498,"LB6","LB62",63214
"A'ain El-Mir (El Establ)","Jezzine","South",2020-06-01,6.3054758,0.8399999,"LB6","LB62",63214
"Aaba","El Koura","North",2018-03-01,5.0500828,0.5875001,"LB5","LB54",32143
"Aaba","El Koura","North",2021-06-01,3.1882902,0.24,"LB5","LB54",32143
"Aaba","El Koura","North",2023-04-01,1.670501,0.1,"LB5","LB54",32143
"Aaba","El Koura","North",2023-10-01,2.14953,0.2150001,"LB5","LB54",32143
"Aaba","El Koura","North",2023-08-01,2.2182283,0.2675,"LB5","LB54",32143
"Aaba","El Koura","North",2024-08-01,2.1437139,0.2262501,"LB5","LB54",32143
"Aaba","El Koura","North",2018-07-01,3.9609297,0.3425001,"LB5","LB54",32143
"Aaba","El Koura","North",2022-08-01,1.2840702,0.12,"LB5","LB54",32143
"Aaba","El Koura","North",2024-04-01,2.1070661,0.385,"LB5","LB54",32143
"Aaba","El Koura","North",2024-02-01,1.8869421,0.1375,"LB5","LB54",32143
"Aaba","El Koura","North",2022-04-01,1.3390703,0.06375,"LB5","LB54",32143
"Aaba","El Koura","North",2023-01-01,1.2815238,0.1350001,"LB5","LB54",32143
"Aaba","El Koura","North",2019-04-01,4.0912708,0.4075,"LB5","LB54",32143
"Aaba","El Koura","North",2019-09-01,3.3150981,0.13625,"LB5","LB54",32143
"Aaba","El Koura","North",2020-05-01,3.8742873,0.44875,"LB5","LB54",32143
"Aaba","El Koura","North",2019-11-01,3.7804648,0.2824999,"LB5","LB54",32143
"Aaba","El Koura","North",2018-12-01,3.7722572,0.3012499,"LB5","LB54",32143
